id_tarjeta,cvv,fecha_expiracion
1000000000032,549,2018-10-28
1000000000249,206,2022-02-27
1000000000357,851,2021-06-20
1000000000337,527,2022-12-3
1000000000073,522,2022-06-19
1000000000316,291,2020-07-25
1000000000406,161,2022-10-18
1000000000499,657,2018-08-27
1000000000030,992,2021-08-19
1000000000334,972,2020-03-17
1000000000227,290,2019-01-7
1000000000043,742,2018-11-30
1000000000414,708,2018-08-10
1000000000228,374,2018-08-20
1000000000324,901,2019-12-4
1000000000436,203,2019-11-7
1000000000192,739,2021-06-10
1000000000439,626,2022-04-26
1000000000447,841,2018-12-18
1000000000011,252,2022-12-13
1000000000120,729,2021-04-25
1000000000124,845,2022-08-4
1000000000461,682,2019-03-12
1000000000008,912,2018-08-5
1000000000079,765,2020-01-4
1000000000361,406,2020-03-12
1000000000454,854,2020-09-27
